InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
102.6,30.6,25.0,True
108.8,40.1,1.0,True
103.4,43.7,27.4,False
194.4,27.3,5.0,True
113.5,27.6,2.6,True
51.8,28.0,9.4,True
166.6,42.7,0.1,True
170.6,39.0,29.8,False
104.1,38.7,22.0,False
159.5,31.6,12.7,False
108.0,39.0,25.1,True
78.9,32.7,4.5,True
117.0,36.3,11.3,True
84.1,29.0,26.3,True
116.3,29.8,9.7,True
168.4,27.1,14.3,True
165.2,33.5,28.6,False
121.2,35.2,3.5,True
106.4,29.8,14.2,True
78.0,27.2,7.3,True
85.3,29.6,15.6,False
95.9,27.6,0.6,True
82.3,25.1,23.6,False
99.5,26.8,15.0,True
167.2,41.4,2.6,True
173.1,38.8,12.0,True
128.8,31.8,22.5,True
149.3,29.3,11.5,True
83.0,39.8,26.5,False
125.9,34.6,26.8,False
114.7,39.1,21.8,False
179.6,35.6,12.2,True
73.9,43.2,0.0,True
116.3,44.3,26.8,True
53.4,38.0,18.1,True
150.8,28.7,23.2,True
122.8,34.6,20.0,True
77.6,28.8,27.8,True
121.0,29.6,12.5,True
54.5,33.8,9.9,True
190.4,25.8,23.2,True
124.6,26.4,4.3,True
124.3,36.1,6.4,True
154.5,33.2,29.0,True
182.9,28.5,4.8,False
182.2,28.9,7.4,False
164.5,40.3,28.0,True
111.3,28.1,9.1,True
82.3,27.1,17.9,True
118.3,26.7,2.6,True
145.2,27.8,28.7,True
78.4,42.3,29.2,False
136.7,26.9,14.6,True
180.2,35.1,13.1,True
114.9,36.7,8.7,True
139.9,43.0,0.5,True
169.7,33.7,17.4,False
105.1,40.9,2.4,True
98.9,34.9,2.9,True
145.5,32.6,20.0,True
52.5,38.2,19.4,True
153.8,34.7,2.0,False
186.8,30.7,5.9,True
50.3,42.5,9.1,True
60.8,40.7,7.2,True
160.5,33.9,15.9,True
187.9,26.2,15.5,False
133.3,35.5,8.9,True
96.3,30.1,7.3,True
151.0,28.0,21.8,True
77.6,38.5,28.3,False
125.5,25.4,24.7,False
169.2,34.2,6.8,True
106.1,33.6,18.3,True
69.0,27.7,29.4,True
95.7,42.6,20.4,False
182.2,26.6,12.4,True
88.3,29.4,12.2,True
51.5,33.3,27.5,False
195.4,41.4,18.0,False
192.5,30.8,7.8,True
174.9,37.7,9.3,True
89.0,26.1,5.4,True
158.5,43.7,22.5,True
125.8,30.0,29.3,True
67.9,43.1,21.0,True
128.1,44.1,22.0,False
75.6,40.5,25.7,True
159.0,29.8,26.6,True
163.0,29.2,2.6,True
92.2,33.9,8.1,True
156.8,40.1,26.3,False
62.7,31.8,19.2,True
130.9,44.8,13.4,True
111.3,31.6,1.9,True
175.4,31.1,20.8,False
182.9,42.8,4.7,True
115.4,34.7,26.7,False
100.7,40.3,2.5,True
56.8,27.7,19.4,True
189.3,30.0,7.0,True
90.3,34.2,21.5,True
122.7,31.3,3.2,True
183.7,26.6,23.2,False
147.1,42.1,11.8,True
190.8,43.9,29.1,False
165.0,34.4,2.2,False
157.5,27.0,5.5,True
56.4,33.1,16.8,True
99.4,42.1,3.3,True
131.8,30.9,14.6,True
183.6,40.0,12.4,True
116.3,32.9,28.5,False
184.7,44.9,29.5,False
69.1,30.2,2.0,True
144.2,35.3,7.2,True
197.5,38.7,25.2,False
159.5,38.6,2.7,True
99.4,27.9,4.4,True
112.6,32.0,22.2,True
178.9,41.9,17.6,True
107.6,33.8,11.3,True
178.9,27.4,9.0,False
106.1,32.5,5.6,True
70.8,42.5,15.0,True
113.8,43.4,23.4,True
176.4,34.4,12.9,True
140.4,43.4,8.3,True
153.4,27.4,28.2,False
160.6,36.5,18.3,True
142.8,40.9,23.3,True
179.0,39.4,14.4,True
132.3,42.2,24.1,False
152.0,39.4,20.0,True
83.6,37.8,19.4,True
157.7,43.9,10.1,True
151.1,29.9,10.8,True
59.2,29.6,15.8,True
94.3,25.4,4.4,False
171.9,25.7,12.7,True
133.8,37.0,10.0,True
64.1,33.2,11.0,True
147.5,40.8,27.8,False
57.8,25.4,5.3,True
162.5,26.0,25.1,False
149.5,43.8,6.0,True
126.1,27.2,8.8,True
85.4,30.7,20.2,True
134.5,39.0,18.4,False
192.0,28.0,1.1,True
80.3,32.9,28.8,True
50.8,31.0,18.9,False
177.8,29.9,22.6,True
192.8,26.8,24.2,False
72.3,43.6,24.9,True
192.0,30.3,26.6,True
52.3,27.5,28.7,False
161.5,43.4,3.1,True
94.1,30.7,13.2,True
163.7,25.1,18.2,False
151.7,42.3,26.6,True
150.6,39.2,6.0,True
117.0,34.4,7.5,True
146.3,43.1,19.7,False
127.3,43.0,11.4,True
