InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
159.8,36.2,17.4,True
176.6,31.5,19.9,False
51.2,43.1,0.6,True
195.9,37.1,26.5,False
186.2,31.2,10.8,True
147.2,35.9,5.6,True
69.9,40.8,26.4,False
194.1,36.3,23.3,True
72.5,30.2,7.9,False
70.8,30.3,7.6,False
192.8,42.4,5.1,True
197.4,43.4,14.4,True
115.9,33.4,14.2,True
93.5,41.9,28.7,False
53.1,26.8,18.0,False
151.6,40.8,9.3,True
111.8,37.3,28.8,False
96.6,43.9,5.6,True
97.8,40.5,3.3,True
146.8,42.3,18.9,True
171.6,30.1,20.4,False
74.2,38.8,9.7,True
57.5,43.0,20.0,False
151.4,35.3,24.3,False
58.0,29.2,13.7,False
58.3,42.2,7.2,True
172.3,31.2,23.4,False
66.4,41.4,10.9,True
69.2,42.9,4.0,True
188.4,44.5,13.3,True
119.0,38.3,9.3,True
162.5,40.9,21.9,False
87.3,39.5,28.4,False
72.0,30.2,5.0,True
53.3,30.4,10.3,False
79.9,31.0,12.4,True
54.2,29.5,13.9,True
100.4,39.9,10.3,True
148.4,44.6,10.9,True
82.6,31.0,2.6,True
79.7,32.8,25.3,False
104.8,26.7,10.3,False
83.6,41.5,14.0,True
82.9,40.1,0.7,True
152.4,36.3,16.3,True
197.9,25.1,13.2,True
195.6,27.8,2.3,True
162.2,25.8,25.7,False
83.0,35.6,8.0,False
112.9,33.1,7.0,True
179.1,25.0,23.2,False
194.5,27.2,25.2,False
62.1,34.5,14.3,False
147.8,25.5,1.6,True
50.7,38.3,25.4,False
79.5,39.2,29.9,False
66.5,30.7,22.4,False
72.2,31.9,22.6,True
183.7,33.4,25.0,True
91.9,43.9,29.7,False
105.6,38.2,16.1,True
51.6,37.2,27.6,False
195.7,32.5,4.6,True
112.8,29.4,22.2,False
81.3,43.4,23.9,True
68.3,31.8,10.2,True
92.4,41.5,28.2,False
186.7,31.6,15.2,False
159.6,29.0,23.9,False
101.4,39.8,25.0,True
65.6,31.5,0.1,True
141.7,41.2,27.1,True
107.9,43.4,9.0,True
184.7,30.5,25.3,True
198.7,39.6,13.6,True
178.1,44.9,14.3,True
99.8,39.7,17.5,False
99.6,33.8,15.7,True
130.8,38.1,9.4,True
149.7,36.6,5.1,True
77.9,37.7,18.0,True
113.5,29.5,22.7,True
197.4,32.5,19.4,False
175.6,41.0,29.2,False
120.3,40.7,20.7,False
71.0,27.2,29.0,False
158.7,38.3,8.9,True
173.6,40.7,22.4,True
137.8,26.5,18.6,False
158.1,33.8,26.8,False
154.0,25.7,22.2,False
91.9,35.7,9.7,True
77.4,34.6,24.2,False
128.3,40.6,24.6,False
79.2,44.8,14.1,True
166.2,33.0,2.4,True
122.9,38.8,11.1,True
77.4,40.9,27.4,False
61.0,44.1,25.3,False
177.9,31.9,29.8,False
59.2,29.9,5.0,True
127.7,38.1,29.9,False
165.3,40.8,19.3,True
161.0,42.1,19.5,True
115.2,36.0,16.8,False
181.6,33.3,16.0,True
139.6,41.9,14.1,False
159.6,33.7,26.2,False
199.2,36.5,1.0,True
151.7,26.7,14.6,False
101.3,34.2,28.2,False
159.4,37.4,10.8,True
113.4,35.2,4.0,True
189.5,36.4,10.8,True
115.9,25.1,5.2,True
184.2,36.7,16.2,False
136.7,43.6,9.7,True
131.7,42.5,9.9,True
56.4,25.1,5.5,False
136.9,26.5,6.4,True
149.8,28.2,22.9,False
153.8,41.0,1.2,True
50.3,28.0,0.7,True
184.3,38.0,12.9,True
125.9,33.0,27.6,False
138.4,28.6,13.4,True
64.9,39.7,3.6,True
142.3,41.2,22.4,False
190.9,32.4,17.5,True
159.2,25.5,4.6,True
127.4,39.3,24.6,False
158.5,32.8,15.9,True
91.5,31.1,12.9,False
102.7,45.0,10.1,True
96.2,26.7,19.7,False
92.8,34.5,10.1,False
131.6,41.1,22.9,False
