InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
54.1,28.0,22.2,False
191.4,25.2,6.1,True
167.2,39.6,6.7,True
91.3,42.7,13.6,True
91.5,40.9,11.4,True
167.4,34.0,3.1,True
106.3,28.1,17.5,False
194.3,36.5,25.4,False
187.7,28.8,18.6,False
162.7,39.9,19.5,True
111.5,41.0,12.3,True
105.9,27.8,12.0,False
120.7,29.8,28.7,False
138.1,34.9,29.5,False
179.2,36.5,17.6,False
84.3,26.1,27.2,False
123.1,41.4,1.1,True
152.4,37.6,18.0,False
194.0,40.2,11.2,True
84.1,41.2,4.1,True
76.7,38.2,18.7,True
113.1,41.5,12.5,True
199.4,25.0,12.5,False
106.4,33.2,6.0,True
75.0,32.5,23.7,False
141.9,26.1,15.3,True
67.4,40.2,24.5,False
108.2,28.2,12.9,False
114.1,28.1,1.3,True
100.5,33.7,13.7,False
127.7,32.3,16.1,False
179.7,42.6,0.0,True
83.4,28.5,3.7,True
111.2,40.7,15.6,True
78.0,30.0,2.1,True
62.3,38.3,12.5,True
84.9,35.4,8.1,True
188.4,43.1,29.7,True
90.5,41.3,16.0,True
156.0,44.6,4.4,True
111.6,27.3,25.2,False
76.8,28.2,18.3,False
160.4,33.8,2.4,True
112.8,25.6,12.6,True
145.3,25.2,21.6,False
125.7,34.4,5.7,True
172.0,41.9,1.2,True
118.7,41.2,28.8,False
102.4,43.0,20.0,True
157.5,26.5,29.4,False
108.0,34.1,26.5,False
198.9,27.3,21.1,False
143.0,26.5,7.4,False
114.7,31.1,1.3,True
82.1,27.9,1.2,True
170.9,39.9,15.9,True
98.8,44.4,5.5,True
167.1,35.7,16.9,False
109.5,27.1,23.2,False
78.2,33.7,1.2,True
172.5,26.7,14.3,True
194.5,42.4,18.2,False
116.5,26.7,17.3,False
198.3,29.3,3.6,True
199.0,27.9,12.4,False
144.7,30.3,6.8,True
59.9,32.9,6.1,True
138.1,38.8,20.5,False
112.1,35.1,2.9,True
175.0,30.8,0.5,True
160.4,43.5,7.8,True
106.6,30.5,25.7,False
126.2,42.0,13.1,False
190.3,33.1,3.2,True
177.6,32.7,14.9,True
105.8,35.0,19.7,False
161.7,36.2,13.8,True
187.6,29.2,7.4,False
118.7,39.7,7.0,True
85.0,28.2,28.2,False
140.1,38.6,9.8,True
73.6,41.7,15.1,True
120.2,36.5,28.4,True
159.9,39.6,19.1,False
149.6,30.5,10.4,True
187.2,36.1,11.5,True
113.5,26.1,23.2,False
93.1,27.3,29.4,False
89.0,34.4,4.2,True
72.8,41.0,19.0,False
103.7,29.0,15.4,True
112.1,39.6,9.1,True
125.1,27.5,4.3,True
120.1,41.5,10.1,True
116.9,41.6,27.2,False
89.9,40.0,22.5,False
187.8,27.7,16.0,False
125.9,35.5,0.1,True
126.7,31.1,9.5,True
145.3,37.3,14.1,True
