InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,VehicleBeingOvertakenSpeedMPS,WindSpeedMPS,FrictionCoefficient,RoadCondition,Success
160.7,36.5,3.0,23.3,7.9,0.78,Dry,True
176.4,31.6,18.4,21.5,3.7,0.54,Wet,False
60.3,39.7,4.7,21.1,5.1,0.64,Wet,False
116.4,43.4,8.8,20.1,2.8,0.70,Dry,True
164.6,41.8,10.7,17.7,3.1,0.93,Wet,False
186.0,41.3,1.3,15.1,4.5,0.62,Dry,True
188.3,43.0,5.6,23.5,3.9,0.66,Wet,True
115.3,29.3,12.2,21.5,4.3,0.66,Wet,False
82.9,36.5,15.9,22.4,4.2,0.86,Wet,True
113.3,44.0,29.8,21.8,0.8,0.85,Dry,False
61.3,25.3,20.7,24.6,8.1,0.63,Wet,False
93.4,43.4,8.6,19.4,6.1,0.97,Dry,True
191.9,36.5,21.1,21.9,4.6,0.75,Wet,True
65.1,35.4,0.7,20.3,6.6,0.87,Dry,True
50.1,35.0,8.2,25.0,6.2,0.77,Dry,True
55.8,41.2,29.3,17.2,8.9,0.83,Wet,True
127.3,25.3,25.0,24.7,2.7,0.82,Wet,True
158.6,36.2,7.9,18.8,4.9,0.92,Wet,False
161.9,35.3,13.5,19.1,1.2,0.88,Dry,True
75.6,37.3,28.5,16.2,5.9,0.69,Dry,False
116.1,28.6,0.7,24.9,8.9,0.93,Dry,False
94.4,27.2,18.8,15.6,9.6,0.80,Wet,False
198.5,43.8,0.0,15.4,8.7,0.69,Wet,True
131.5,29.9,13.7,18.5,7.0,0.74,Dry,True
60.1,30.7,17.4,16.6,8.1,0.56,Wet,True
81.7,44.4,11.7,18.9,9.9,0.89,Wet,False
167.9,42.9,0.1,17.5,4.8,0.82,Wet,True
167.7,33.1,0.7,18.3,1.6,0.50,Dry,True
196.8,43.2,28.4,17.9,6.6,0.82,Dry,True
193.6,33.3,22.8,20.7,4.6,0.93,Dry,False
88.4,33.8,5.4,23.9,4.4,0.57,Dry,False
152.4,31.7,4.1,23.0,5.3,0.94,Wet,True
168.2,27.8,20.3,17.7,4.5,0.96,Wet,True
148.3,42.8,14.2,22.9,1.8,0.74,Dry,True
127.2,40.1,23.4,19.4,2.1,0.74,Dry,False
74.5,39.8,10.3,20.5,2.2,0.72,Wet,True
179.6,31.9,20.5,20.0,7.3,0.73,Wet,False
198.3,32.9,22.1,21.2,4.6,0.52,Wet,True
144.1,32.2,22.6,22.5,9.6,0.79,Wet,True
90.0,26.5,24.2,18.3,9.3,0.94,Wet,True
145.4,44.6,25.6,21.7,0.9,0.66,Wet,True
56.1,30.6,22.3,20.7,9.3,0.65,Dry,True
148.8,26.8,27.8,22.7,4.1,0.55,Wet,True
141.7,35.7,19.5,22.9,0.2,0.72,Dry,True
136.4,31.4,9.3,24.9,9.3,0.59,Dry,True
150.2,41.3,20.4,24.2,5.6,0.92,Dry,False
92.5,45.0,23.7,18.0,8.0,0.77,Dry,False
164.5,34.9,1.1,19.1,7.3,0.77,Dry,True
114.1,44.7,2.7,21.7,3.2,0.83,Dry,True
189.7,25.2,15.0,15.9,8.9,0.76,Wet,False
170.2,29.8,4.5,16.2,4.3,0.80,Wet,True
58.0,28.5,27.0,19.0,8.1,0.75,Dry,False
111.4,33.9,19.3,20.9,1.3,0.98,Wet,True
120.3,34.5,26.5,17.1,9.0,0.60,Dry,False
59.9,28.5,8.3,18.0,6.0,0.95,Dry,True
93.2,37.0,26.1,22.8,9.6,0.72,Wet,False
85.4,27.8,0.1,18.6,9.9,0.81,Dry,True
105.3,31.8,20.1,18.5,9.9,0.72,Wet,True
150.0,42.5,18.0,23.1,7.5,0.98,Dry,True
161.4,37.7,2.0,17.5,0.2,0.69,Wet,True
106.0,27.7,28.1,20.5,7.9,0.54,Wet,False
73.7,34.5,11.2,22.6,2.8,0.90,Dry,True
69.7,36.6,11.4,21.1,9.9,0.53,Dry,True
68.8,43.3,14.4,15.2,1.8,0.71,Dry,True
184.2,39.2,16.9,22.7,3.0,0.63,Wet,True
121.9,36.0,19.1,20.7,9.2,0.88,Dry,True
168.1,41.3,11.1,23.6,9.0,0.56,Dry,True
